DrugName	DrugType
(+)-NANM	drug_n
(-)-NANM	drug_n
(beta)-agonists	group
"1,25(OH)2D3"	drug
"1,3-difluoro-2-propanol"	drug_n
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine"	drug_n
18-MC	drug_n
25-O-desacetylrifabutin	drug_n
"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine"	drug_n
"3-hydroxy-1,4-benzodiazepine"	group
5-HT1 agonists	group
5-HT1B/1D agonists	group
5HT3 antagonist class	group
99mTc-MDP	drug
99mTc-methylene diphosphonate	drug
a-methyldopa	drug
AAV2	drug_n
absorbent-type anti-diarrhea medicines	group
ABT	drug_n
ABT-737	drug_n
Accutane	brand
ACE inhibitor	group
ACE inhibitors	group
ACE-inhibitors	group
Acellular vaccines	group
acetaldehyde	drug_n
acidifying agents	group
activated charcoal	drug
ADL-8-2698	drug
adrenergic	group
adrenergic agents	group
adrenergic agonists	group
Adrenergic blockers	group
adrenergic drugs	group
adrenocortical steroids	group
AED	group
AEDs	group
agents with b-blocking properties	group
Agonist/antagonist analgesics	group
albendazole sulfoxide	drug
alkalinizing agents	group
allopurinol sodium	drug
alpha glucosidase inhibitors	group
alpha-adrenergic blocking agents	group
alpha-adrenergic stimulants	group
alpha-blocker	group
alpha-blockers	group
ALPHAGAN P	brand
aluminum hydoxide	drug
aminoglycoside	group
aminoglycoside antibiotics	group
aminoglycosides	group
aminosalicylate derivatives	group
amitriptyline HCl	drug
amizyl	drug_n
ammonium chloride	drug
amphetamines	drug
amphetamines	group
amylase	drug
anabolic hormones	group
anabolic steroids	group
analgesic agents	group
analgesics	group
androgens	group
anesthetic	group
anesthetic agents	group
anesthetic solutions	group
anesthetics	group
Angiotensin Converting Enzyme (ACE) inhibitors	group
angiotensin converting enzyme inhibitors	group
angiotensin II receptor antagonists	group
angiotensin-converting enzyme (ACE) inhibitors	group
angiotensin-converting enzyme inhibitor	group
angiotensin-converting enzyme inhibitors	group
anion-exchange resins	group
anionic exchange resins	group
antacid	group
antacids	group
anti-arrhythmic	drug
Anti-arrhythmics	group
anti-cancer drugs	group
anti-coagulants	group
anti-hypertensive drug	group
anti-infective medicines	group
anti-malarial drugs	group
anti-pseudomonal antibiotics	group
antianxiety agents	group
antiarrhythmic agents	group
antiarrhythmic agents of class I	group
antiarrhythmics	group
antibacterial drugs	group
antibiotics	group
antichlolinergic	group
anticholinergic	drug
anticholinergic	group
anticholinergic agents	group
anticholinergic compounds	group
anticholinergic drugs	group
anticholinergic medications	group
anticholinergics	group
anticholinesterase	group
anticholinesterase agents	group
anticholinesterases	group
anticoagulant	drug
anticoagulant	group
anticoagulant agents	group
anticoagulant drugs	group
anticoagulant medication	group
anticoagulants	group
anticoagulants of the coumarin type	group
anticonvulsant	group
anticonvulsant agents	group
anticonvulsant drugs	group
anticonvulsants	group
antidepressant	group
antidepressant drugs	group
antidepressants	group
antidepressants of the MAO inhibitor class	group
antidiabetic agent	group
antidiabetic agents	group
antidiabetic drugs	group
antidiabetics	group
antiepileptic drugs	group
antiepileptic medications	group
antifungal agents	group
antifungals	group
antiglaucoma agents	group
antihistamines	group
antihistaminics	group
antihypertensive agents	group
antihypertensive compounds	group
antihypertensive drugs	group
antihypertensive medications	group
antihypertensives	drug
antihypertensives	group
antimuscarinics	group
Antimycobacterial agents	group
antimycotic agents	group
antineoplastic agents	group
antineoplastic drugs	group
antiparkinson drugs	group
antiparkinsonian agents	group
antiparkinsonian drug	group
antiparkinsonian-agents	group
antiplatelet agents	group
antiplatelet medication	group
antipsychotic agents	group
antipsychotic drug	group
antipsychotics	group
antiretroviral	group
antiretroviral drugs	group
antithrombin III	drug
antithyroid agents	group
antituberculous drugs	group
arsenate	drug_n
Arthropan	drug
